Año,Trimestre,Fibra óptica,Provincia
2019,2,18236,Santa Fe
2019,2,219,Santiago Del Estero
2019,2,651,Tierra Del Fuego
2019,2,116,Tucumán
2019,1,336362,Buenos Aires
2019,1,32281,Capital Federal
2019,1,16,Catamarca
2019,1,1951,Chaco
2019,1,1923,Chubut
2019,1,19902,Córdoba
2019,1,1615,Corrientes
2019,1,12723,Entre Ríos
2019,1,940,Formosa
2019,1,153,Jujuy
2019,1,2891,La Pampa
2019,1,12,La Rioja
2019,1,5662,Mendoza
2019,1,465,Misiones
2019,1,3114,Neuquén
2019,1,3994,Río Negro
2019,1,647,Salta
2019,1,808,San Juan
2019,1,378,San Luis
2019,1,382,Santa Cruz
2019,1,15621,Santa Fe
2019,1,23,Santiago Del Estero
2019,1,1623,Tierra Del Fuego
2019,1,118,Tucumán
2018,4,296102,Buenos Aires
2018,4,33042,Capital Federal
2018,4,16,Catamarca
2018,4,1940,Chaco
2018,4,952,Chubut
2018,4,17675,Córdoba
2018,4,796,Corrientes
2018,4,4853,Entre Ríos
2018,4,887,Formosa
2018,4,153,Jujuy
2018,4,2685,La Pampa
2018,4,12,La Rioja
2018,4,5665,Mendoza
2018,4,465,Misiones
2018,4,3115,Neuquén
2018,4,1299,Río Negro
2018,4,638,Salta
2018,4,806,San Juan
2018,4,378,San Luis
2018,4,382,Santa Cruz
2018,4,14387,Santa Fe
2018,4,23,Santiago Del Estero
2018,4,1623,Tierra Del Fuego
2018,4,119,Tucumán
2018,3,156382,Buenos Aires
2018,3,35694,Capital Federal
2018,3,15,Catamarca
2018,3,1990,Chaco
2018,3,1239,Chubut
2018,3,15785,Córdoba
2018,3,212,Corrientes
2018,3,2403,Entre Ríos
2018,3,817,Formosa
2018,3,32,Jujuy
2018,3,8437,La Pampa
2018,3,13,La Rioja
2018,3,5744,Mendoza
2018,3,512,Misiones
2018,3,998,Neuquén
2018,3,1252,Río Negro
2018,3,678,Salta
2018,3,826,San Juan
2018,3,368,San Luis
2018,3,585,Santa Cruz
2018,3,11749,Santa Fe
2018,3,23,Santiago Del Estero
2018,3,1502,Tierra Del Fuego
2018,3,110,Tucumán
2018,2,143626,Buenos Aires
2018,2,35610,Capital Federal
2018,2,15,Catamarca
2018,2,562,Chaco
2018,2,1239,Chubut
2018,2,13832,Córdoba
2018,2,201,Corrientes
2018,2,2405,Entre Ríos
2018,2,18,Formosa
2018,2,23,Jujuy
2018,2,8420,La Pampa
2018,2,13,La Rioja
2018,2,3084,Mendoza
2018,2,512,Misiones
2018,2,998,Neuquén
2018,2,1252,Río Negro
2018,2,678,Salta
2018,2,826,San Juan
2018,2,368,San Luis
2018,2,585,Santa Cruz
2018,2,11354,Santa Fe
2018,2,23,Santiago Del Estero
2018,2,531,Tierra Del Fuego
2018,2,110,Tucumán
2018,1,133928,Buenos Aires
2018,1,35535,Capital Federal
2018,1,15,Catamarca
2018,1,383,Chaco
2018,1,1194,Chubut
2018,1,13178,Córdoba
2018,1,888,Corrientes
2018,1,3789,Entre Ríos
2018,1,17,Formosa
2018,1,23,Jujuy
2018,1,8386,La Pampa
2018,1,13,La Rioja
2018,1,3086,Mendoza
2018,1,328,Misiones
2018,1,1000,Neuquén
2018,1,1251,Río Negro
2018,1,118,Salta
2018,1,826,San Juan
2018,1,368,San Luis
2018,1,1799,Santa Cruz
2018,1,10674,Santa Fe
2018,1,23,Santiago Del Estero
2018,1,531,Tierra Del Fuego
2018,1,107,Tucumán
2017,4,131181,Buenos Aires
2017,4,36277,Capital Federal
2017,4,11,Catamarca
2017,4,389,Chaco
2017,4,1187,Chubut
2017,4,12778,Córdoba
2017,4,894,Corrientes
2017,4,1894,Entre Ríos
2017,4,19,Formosa
2017,4,20,Jujuy
2017,4,8272,La Pampa
2017,4,14,La Rioja
2017,4,3015,Mendoza
2017,4,95,Misiones
2017,4,1017,Neuquén
2017,4,1250,Río Negro
2017,4,127,Salta
2017,4,812,San Juan
2017,4,335,San Luis
2017,4,582,Santa Cruz
2017,4,10602,Santa Fe
2017,4,19,Santiago Del Estero
2017,4,530,Tierra Del Fuego
2017,4,105,Tucumán
2017,3,124920,Buenos Aires
2017,3,33481,Capital Federal
2017,3,12,Catamarca
2017,3,456,Chaco
2017,3,1217,Chubut
2017,3,10579,Córdoba
2017,3,947,Corrientes
2017,3,1786,Entre Ríos
2017,3,428,Formosa
2017,3,20,Jujuy
2017,3,5153,La Pampa
2017,3,14,La Rioja
2017,3,2772,Mendoza
2017,3,110,Misiones
2017,3,1044,Neuquén
2017,3,1106,Río Negro
2017,3,127,Salta
2017,3,816,San Juan
2017,3,347,San Luis
2017,3,1544,Santa Cruz
2017,3,6338,Santa Fe
2017,3,19,Santiago Del Estero
2017,3,622,Tierra Del Fuego
2017,3,106,Tucumán
2017,2,119132,Buenos Aires
2017,2,38628,Capital Federal
2017,2,14,Catamarca
2017,2,458,Chaco
2017,2,916,Chubut
2017,2,4451,Córdoba
2017,2,258,Corrientes
2017,2,254,Entre Ríos
2017,2,17,Formosa
2017,2,22,Jujuy
2017,2,5194,La Pampa
2017,2,15,La Rioja
2017,2,2581,Mendoza
2017,2,103,Misiones
2017,2,1133,Neuquén
2017,2,961,Río Negro
2017,2,115,Salta
2017,2,772,San Juan
2017,2,354,San Luis
2017,2,1365,Santa Cruz
2017,2,3234,Santa Fe
2017,2,19,Santiago Del Estero
2017,2,665,Tierra Del Fuego
2017,2,116,Tucumán
2017,1,118839,Buenos Aires
2017,1,38259,Capital Federal
2017,1,14,Catamarca
2017,1,252,Chaco
2017,1,916,Chubut
2017,1,4871,Córdoba
2017,1,236,Corrientes
2017,1,230,Entre Ríos
2017,1,16,Formosa
